檔案路徑,函式名稱,round1,round2,round3,round4,round5,round6,round7,round8,round9,round10,QueryTimes
common/src/main/java/io/netty/util/NetUtil.java,run(),"0 (Δ; base=0, round=0, CodeQL(0))","0 (Δ; base=0, round=0, CodeQL(0))","0 (Δ; base=0, round=0, CodeQL(0))","0 (Δ; base=0, round=0, CodeQL(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))",All-Safe
common/src/main/java/io/netty/util/Version.java,identify(),"0 (Δ; base=0, round=0, CodeQL(0))","0 (Δ; base=0, round=0, CodeQL(0))","0 (Δ; base=0, round=0, CodeQL(0))","0 (Δ; base=0, round=0, CodeQL(0))","0 (Δ; base=0, round=0, CodeQL(0))","0 (Δ; base=0, round=0, CodeQL(0))","0 (Δ; base=0, round=0, CodeQL(0))","0 (Δ; base=0, round=0, CodeQL(0))","0 (Δ; base=0, round=0, CodeQL(0))","0 (Δ; base=0, round=0, CodeQL(0))",All-Safe
common/src/main/java/io/netty/util/internal/NativeLibraryLoader.java,load(),"0 (Δ; base=0, round=0, CodeQL(0))","0 (Δ; base=0, round=0, CodeQL(0))","0 (Δ; base=0, round=0, CodeQL(0))","0 (Δ; base=0, round=0, CodeQL(0))","0 (Δ; base=0, round=0, CodeQL(0))","0 (Δ; base=0, round=0, CodeQL(0))","0 (Δ; base=0, round=0, CodeQL(0))","0 (Δ; base=0, round=0, CodeQL(0))","0 (Δ; base=0, round=0, CodeQL(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))",All-Safe
common/src/main/java/io/netty/util/internal/PlatformDependent.java,toDirectory(),"4 (Δ; base=0, round=4, CodeQL(4))",#,#,#,#,#,#,#,#,#,1
common/src/main/java/io/netty/util/internal/ResourcesUtil.java,getFile(),"1 (Δ; base=0, round=1, CodeQL(1)+Semgrep(0))",#,#,#,#,#,#,#,#,#,1
common/src/test/java/io/netty/util/internal/NativeLibraryLoaderTest.java,testMultipleResourcesWithSameContentInTheClassLoader(),"0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))","0 (Δ; base=0, round=0, CodeQL(0)+Semgrep(0))",All-Safe
example/src/main/java/io/netty/example/file/FileServerHandler.java,channelRead0(),"2 (Δ; base=0, round=2, CodeQL(2)+Semgrep(0))",#,#,#,#,#,#,#,#,#,1
example/src/main/java/io/netty/example/http/file/HttpStaticFileServerHandler.java,channelRead0(),"0 (Δ; base=0, round=0, CodeQL(0))","0 (Δ; base=0, round=0, CodeQL(0))","0 (Δ; base=0, round=0, CodeQL(0))","0 (Δ; base=0, round=0, CodeQL(0))","0 (Δ; base=0, round=0, CodeQL(0))","0 (Δ; base=0, round=0, CodeQL(0))","0 (Δ; base=0, round=0, CodeQL(0))","0 (Δ; base=0, round=0, CodeQL(0))","0 (Δ; base=0, round=0, CodeQL(0))","0 (Δ; base=0, round=0, CodeQL(0))",All-Safe
example/src/main/java/io/netty/example/http/upload/HttpUploadClient.java,main(),"1 (Δ; base=0, round=1, CodeQL(1))",#,#,#,#,#,#,#,#,#,1
example/src/main/java/io/netty/example/http2/file/Http2StaticFileServerHandler.java,channelRead(),"10 (Δ; base=0, round=10, CodeQL(10)+Semgrep(0))",#,#,#,#,#,#,#,#,#,1
example/src/main/java/io/netty/example/stomp/websocket/StompWebSocketClientPageHandler.java,sendResource(),"2 (Δ; base=0, round=2, CodeQL(2)+Semgrep(0))",#,#,#,#,#,#,#,#,#,1
